Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,6895,6895,6895,0.00,0.000%,.14503,0.10,0.04,687.0
Login as User Request,1,4688,4688,4688,0.00,0.000%,.21331,0.14,0.05,685.0
Login as Merchant Request,1,5194,5194,5194,0.00,0.000%,.19253,0.13,0.05,687.0
BZM Register Merchant Request,33,2060,506,4099,962.98,0.000%,.89710,0.61,0.48,698.3
BZM Register User Request,31,1726,506,3500,799.16,0.000%,.96309,0.64,0.28,683.6
BZM Register Admin Request,31,1883,703,3899,841.85,0.000%,.94822,0.64,0.49,690.4
BZM Login Request,27,1206,414,4092,831.13,0.000%,.92425,0.62,0.23,683.5
BZM Create Category Request,29,2321,496,8326,2167.13,0.000%,.81169,0.44,0.37,549.3
BZM Get All Categories Request,22,1193,398,2998,690.00,0.000%,.75350,1.37,0.29,1855.4
BZM Get Category by ID Request,20,740,401,1395,287.56,0.000%,1.29870,0.70,0.49,549.0
BZM Update Category Request,20,1058,602,1602,286.34,0.000%,1.26598,0.68,0.61,552.0
BZM Create Merchant Request,30,4506,2100,8239,1967.97,0.000%,.81650,0.46,0.47,582.9
BZM Get All Merchants Request,26,3040,1399,5695,1347.96,0.000%,.91231,2.26,0.35,2537.5
BZM Get Merchant by ID Request,21,1038,401,1701,371.88,0.000%,.97674,0.56,0.37,582.1
BZM Create Item Request,20,1376,696,2745,589.77,0.000%,.78607,0.61,0.72,800.6
BZM Get All Items Request,20,674,191,1596,321.86,0.000%,.83358,3.33,0.31,4094.1
BZM Get Item by ID Request,20,453,197,794,155.66,10.000%,.87746,0.63,0.33,739.1
BZM Add Item Stock Request,20,1001,588,1503,269.03,10.000%,.85903,0.62,0.38,739.1
BZM Remove Item Stock Request,12,1056,394,1697,420.14,16.667%,.63188,0.43,0.28,696.3
BZM Create Order Request,10,17664,15845,19442,1252.65,80.000%,.43977,0.14,0.45,330.2
BZM Get User Orders Request,10,5748,3301,8296,2037.96,0.000%,1.20540,1.67,0.45,1416.0
BZM Get All Orders Request,10,2460,2102,2998,289.47,0.000%,2.85714,3.95,1.08,1416.0
BZM Get Order by ID Request,10,1528,894,2301,474.99,80.000%,2.85714,0.94,1.07,337.4
BZM Approve Order Request,10,1538,901,2695,551.59,80.000%,2.56410,0.67,1.15,267.0
BZM Get All Merchant Orders Request,60,261,43,602,135.86,0.000%,1.74728,0.81,0.67,473.0
BZM Get Merchant Order by ID Request,60,388,99,894,185.13,100.000%,1.74424,0.33,0.67,195.0
BZM Get Merchant Order of Merchant User Request,50,277,20,1298,193.57,0.000%,1.76678,0.82,0.67,473.0
BZM Get All Shipping Orders Request,62,158,17,440,94.11,0.000%,1.77972,0.82,0.68,473.0
BZM Get Shipping Order by ID Request,62,257,82,594,112.29,100.000%,1.78135,0.34,0.68,195.0
BZM Get Shipping Order of User Request,53,207,21,1024,141.84,1.887%,1.79673,0.86,0.67,490.9
BZM Reject Order Request,244,1343,397,4139,585.98,99.180%,6.84624,1.27,3.10,189.3
BZM Cancel Order Request,284,1160,299,2998,488.03,100.000%,7.90140,1.43,3.61,186.0
BZM Delete Order by ID Request,336,976,297,3946,452.79,99.405%,9.42787,1.75,3.87,190.5
BZM Delete Item Request,654,499,99,1896,207.01,97.095%,18.50280,3.67,7.35,202.9
BZM Delete Merchants Request,321,1027,399,3696,525.22,90.654%,8.95772,1.98,3.59,225.8
BZM Delete Category Request,917,355,94,1000,143.60,96.838%,25.86961,5.04,10.41,199.5
TOTAL,3538,854,17,19442,1219.51,79.904%,6.88895,2.12,2.85,315.5
