sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.00000186,9.57e-7
2025-08-31 03:39:15,0.00000184,9.52e-7
2025-08-31 03:39:30,0.00000184,9.53e-7
2025-08-31 03:39:45,0.00000184,9.5e-7
2025-08-31 03:40:00,0.00000183,9.48e-7
2025-08-31 03:40:15,0.00000183,9.48e-7
2025-08-31 03:40:30,0.00000183,9.47e-7
2025-08-31 03:40:45,0.00000182,9.43e-7
2025-08-31 03:41:00,0.00000181,9.31e-7
2025-08-31 03:41:15,0.00000182,9.33e-7
2025-08-31 03:41:30,0.00000184,9.44e-7
2025-08-31 03:41:45,0.00000185,9.54e-7
2025-08-31 03:42:00,0.00000186,9.6e-7
2025-08-31 03:42:15,0.00000187,9.63e-7
2025-08-31 03:42:30,0.00000188,9.7e-7
2025-08-31 03:42:45,0.00000189,9.78e-7
2025-08-31 03:43:00,0.00000190,9.82e-7
2025-08-31 03:43:15,9.7e-7,5.59e-7
2025-08-31 03:43:30,7.49e-7,4.32e-7
2025-08-31 03:43:45,7.49e-7,4.33e-7
2025-08-31 03:44:00,7.38e-7,4.26e-7
2025-08-31 03:44:15,7.24e-7,4.17e-7
2025-08-31 03:44:30,7.17e-7,4.12e-7
2025-08-31 03:44:45,7.08e-7,4.06e-7
2025-08-31 03:45:00,6.63e-7,3.78e-7
2025-08-31 03:45:15,6.4e-7,3.65e-7
2025-08-31 03:45:30,4.98e-7,2.78e-7
2025-08-31 03:45:45,4.73e-7,2.65e-7
2025-08-31 03:46:00,4.69e-7,2.64e-7
2025-08-31 03:46:15,4.65e-7,2.62e-7
2025-08-31 03:46:30,4.63e-7,2.61e-7
2025-08-31 03:46:45,4.57e-7,2.58e-7
2025-08-31 03:47:00,4.62e-7,2.62e-7
2025-08-31 03:47:15,4.65e-7,2.65e-7
2025-08-31 03:47:30,4.67e-7,2.67e-7
2025-08-31 03:47:45,4.66e-7,2.68e-7
2025-08-31 03:48:00,4.66e-7,2.69e-7
2025-08-31 03:48:15,4.68e-7,2.71e-7
2025-08-31 03:48:30,4.63e-7,2.67e-7
2025-08-31 03:48:45,4.7e-7,2.73e-7
2025-08-31 03:49:00,4.67e-7,2.71e-7

